职位名称,职位薪资,员工福利,招聘条件,公司位置,职位描述,公司介绍,课程介绍,培训机构介绍,公司名称,公司业务,公司规模,简历查看率,招聘职位,加入58
网络推广,6000-12000元/月,房补;年底双薪;饭补;每周下午茶;高提成+奖金;晋升空间大,"招10人;中专;经验不限,可接收应届生",广州 广州天河区临江大道盈富仓创新产业园8号303,"工作内容：
1.根据公司规划负责手机游戏网络推广。
2.做好后期维护工作，保证游戏玩家的娱乐性。
3.根据公司安排，完成团队绩效考核。
职位要求：
1.年龄17-25岁。喜欢热爱游戏就可以以玩的状态下赚钱。品德端正为人正直。
2.熟练使用QQ、微信等网络聊天工具。
3.思维敏捷，具有一定的文字功底及语言沟通能力。
4.熟悉网络游戏，上手快，操作娴熟。
任职资格:
1、接触过网页或者网络游戏,对一些主流游戏有一定了解.喜欢游戏!
2、有一定游戏组织能力.
3、熟练使用网络聊天工具!
薪资结构：
高底薪+高提成+全勤+饭补+绩效+奖金
晋升机制：推广专员—推广主管—部门经理
工作时间：10：00-20：30，周日休息
我们欢迎往届生、应届生、以及实习生的加入，我们相信你对未来已勾画好蓝图，我们为你搭建好平台，准备好机会，只等你来大显身手。","维趣游戏是新兴的集游戏运营、推广的游戏公司，公司依托游戏界强势的游戏平台资源，同时拥有领先的市场份额、优秀的商业模式、强势的合作资源和丰富的运营经验。平台集休闲、娱乐、游戏、玩家互动为一体，以游戏服务和玩家互动娱乐为核心，力图为大家打造一个较优秀较专业的绿色健康游戏平台，真正做到用心为你，用心创造快乐!
我们聚集了一批充满梦想、热血沸腾的90后年轻人，公司成立至今，业务稳步发展，具有稳定盈利项目，已吸引众多优秀知名网咖、专业游戏玩家、运营专业人士加盟，公司规模现在处在狂猛发展之势，团队日新月异的壮大。欢迎有梦想的年轻人加入我们的大家庭！",,,广州维趣网络科技有限公司,娱乐休闲/餐饮/服务+互联网/电子商务+游戏,50-99人,70,8,26月
仓库管理员,3500-5000元/月,五险一金,"招2人;学历不限;经验不限,可接收应届生",广州-白云-云城西路 广州白云云城西路白云绿地中心,"【福利待遇】
1.试用期：三个月
2.转正购买五险，国家法定节假日休息
3.带薪年假等等；
【岗位职责】
负责仓库负责打单，对单。
【任职要求】
1、年龄18-30岁，应届生、有无经验者皆可；
2、有上进心，渴望在事业上有所突破。
3、做事认真负责，有责任心,用心做好每天主管安排的工作任务。
4、有良好职业素质，合作意识和团队精神，具备良好的自我激励精神。
工作时间：9：30—12:0013:30—18:00
公司地址：广州市白云区云城西路888号绿地中心","古丽池-中国美妆品牌服务专家！她，一直致力于做中国较受尊敬的美妆企业！古丽池创立于2008年，是集化妆品品牌代理销售、自主品牌研发销售，大健康事业于一身，专注10年，服务遍布全国，超过2000家终端门店。
古丽池旗下子公司包括：2016成立广州丘耳氏贸易有限公司，2018成立广东娘炊烟贸易有限公司，2012年成立广州古丽池信息科技有限公司，旗下商标品牌有：古丽池、娘炊烟、鲜丽然。展望未来，古丽池把握现在，将美丽和健康作为终身事业，为人类追求健康快乐而努力不懈！",,,广州古丽池信息科技有限公司,批发/零售+快速消费品(食品/饮料等),1-49人,80,16,33月
WEB前端开发,6000-9000元/月,求职保障;五险一金;包住;周末双休;年底双薪;加班补助;房补;饭补,"招6人;学历不限;经验不限,可接收应届生",广州-番禺-大学城 青蓝街青蓝致远4栋,"适合人群
1：不限学历，18-30周岁
2：迷茫不知道做什么，不了解当前社会行业发展趋势
3：薪资低，不稳定，想要找一份长期稳定发展的工作的
4：想月入过万，每年涨薪，越做久薪资越高的
5：想挑战高薪买车买车过想要的生活的
6：对计算机感兴趣的！对互联网行业感兴趣的！
先培训，培训完成之后推荐都相关职位实现就业。此职位只是说明学习后能胜任类似岗位工作，并非公司实际招聘需求","技术转移只是开始，创业孵化也不是终点站。从2019年开始，青蓝致远启动创业孵化，帮助每一位创业者打通创业直通车，同时促成投融资机构挖掘黄金项目。伴随广州创新创业大赛、中国（广州）创新创业大赛成功举办，青蓝致远作为秘书处单位的知名度不断扩大，通过“培训+创赛+孵化”的创新商业模式，打造全新的青年创业发展生态体系——创业二路创客空间、青蓝致远众创空间，一方面协同龙头骨干企业与创客主体，优化配置技术、装备、资本、市场等创新资源，实现与中小微企业、高校、科研院所和各类创客群体有机结合；另一方面通过聚集科研院所、高校等高端创新资源，增加源头技术创新有效供给，为创客们提供专业化服务。创业二路和新研众创空间在2019年1月分别获得了国家科技部众创空间认定。
青蓝人以踏石留印、抓铁有痕的劲头，立言立行、善做善成的作风，不忘初心，继续前进。",零基础速成;名企就业;免费试听;推荐就业;小班授课;面对面;名师授课;高薪就业;线下授课;青蓝街青蓝致远4栋,广州青蓝致远是一家以互联网平台运营、WEB应用开发、软件开发、大数据分析、移动互联网通讯技术、云计算、营销推广、技术培训等为核心的科技公司。我公司主要以技术研发创新为主导，把握互联网行业的需求，利用互联网核心技术为客户提供稳定、可靠、功能优异的软硬一体解决方案。我们公司已推出十几个行业的解决方案，跟多家企事业单位合作，已经广泛应用于加盟店、连锁店、医院、商场、咖啡厅、KTV、商业地产、旅游景点、快捷酒店等行业，我们在北京、济南、武汉等地区分别设立项目部，进行项目沟通与交付。我们秉承“为合作伙伴创造价值”的核心价值观，并以“诚实、宽容、创新、服务”为企业精神，通过自主创新和真诚合作为互联网及信息服务行业创造价值。,广州博才科技开发有限公司,其他行业,100-499人,100,40,50月
人事专员/助理,5000-8000元/月,求职保障;五险一金;包住;年底双薪;周末双休;加班补助;房补;饭补;职业培训,"招5人;学历不限;经验不限,可接收应届生",广州-番禺-大学城 广州番禺大学城北站,"在线咨询，优先接受！
适合人群
1：18-30周岁，硬性要求，不符勿扰
2：迷茫不知道做什么，不了解当前社会行业发展趋势
3：薪资低，不稳定，想要找一份长期稳定发展的工作的
4：想月入过万，每年涨薪，越做久薪资越高的
5：想挑战高薪买车买车过想要的生活的
6：对计算机感兴趣的！对互联网行业感兴趣的！
先培训，培训完成之后推荐都相关职位实现就业。此职位只是说明学习后能胜任类似岗位工作，并非公司实际招聘需求","技术转移只是开始，创业孵化也不是终点站。从2019年开始，青蓝致远启动创业孵化，帮助每一位创业者打通创业直通车，同时促成投融资机构挖掘黄金项目。伴随广州创新创业大赛、中国（广州）创新创业大赛成功举办，青蓝致远作为秘书处单位的知名度不断扩大，通过“培训+创赛+孵化”的创新商业模式，打造全新的青年创业发展生态体系——创业二路创客空间、青蓝致远众创空间，一方面协同龙头骨干企业与创客主体，优化配置技术、装备、资本、市场等创新资源，实现与中小微企业、高校、科研院所和各类创客群体有机结合；另一方面通过聚集科研院所、高校等高端创新资源，增加源头技术创新有效供给，为创客们提供专业化服务。创业二路和新研众创空间在2019年1月分别获得了国家科技部众创空间认定。
青蓝人以踏石留印、抓铁有痕的劲头，立言立行、善做善成的作风，不忘初心，继续前进。",零基础速成;名企就业;免费试听;推荐就业;小班授课;面对面;名师授课;高薪就业;线下授课;广州番禺大学城北站,广州青蓝致远是一家以互联网平台运营、WEB应用开发、软件开发、大数据分析、移动互联网通讯技术、云计算、营销推广、技术培训等为核心的科技公司。我公司主要以技术研发创新为主导，把握互联网行业的需求，利用互联网核心技术为客户提供稳定、可靠、功能优异的软硬一体解决方案。我们公司已推出十几个行业的解决方案，跟多家企事业单位合作，已经广泛应用于加盟店、连锁店、医院、商场、咖啡厅、KTV、商业地产、旅游景点、快捷酒店等行业，我们在北京、济南、武汉等地区分别设立项目部，进行项目沟通与交付。我们秉承“为合作伙伴创造价值”的核心价值观，并以“诚实、宽容、创新、服务”为企业精神，通过自主创新和真诚合作为互联网及信息服务行业创造价值。,广州博才科技开发有限公司,其他行业,100-499人,80,33,11天
学徒工,6000-6800元/月,求职保障;加班补助;交通补助;年底双薪;包住;包吃;五险一金,"招100人;学历不限;经验不限,可接收应届生",广州-海珠-上渡路 上渡路全部地区一以及周边各省市,"1、20-25元／小时，月保底260-300小时；
2、月综合工资6000-7600元；
正式工:
1、一个月基本底薪：2500元/月-2650元/月，
2、加班统一按按劳动法，周一至周五（1.5倍工资），周六至周日（2倍工资），法定节假日（3倍工资）；月综合工资5500-6900元；
因新开产线，岗位目前可以自由选择，长白班：
部门：组装部门，包装部门，质检部门：任选，都可以自由选择。
当天安排面试、当天安排入职、当天安排住宿、免费包吃包住：不需要一分钱：
综合5500-6900元/月左右。（可以长期做：也可以短期工：自己做多久自己选择：离职结清工资）：
一、厂区服务：
1、错过面试的朋友，请不要担心，也不用浪费钱去住宿旅馆，我们会给你安排免费住宿，第二天再面试入职；
2、全程贴心服务，完成面试、体检、入职、住宿、报到，省时省力，尽快入职；
3、面试入职之后，持厂牌可去饭堂吃饭，以及在厂区士多消费。
二、岗位职责：
1、普工、操作工、质检员、组装工、包装工、学徒工、品管员、巡检、文员、物料、线外、测试、CNC学徒等等。
2、主要从事产品、手机配件和配件等制造工艺，工作轻松简单：一看就会：无需经验：
三、薪资待遇：
:1、20-25元／小时，月保底260-300小时；
2、月综合工资6000-7600元；
正式工:
1、一个月基本底薪：2500元/月-2650元/月，
2、加班统一按按劳动法，周一至周五（1.5倍工资），周六至周日（2倍工资），法定节假日（3倍工资）；月综合工资5500-6900元；
工资发放：
1、工资统一以打卡方式或者现金发放，
2、员工离职之后，及时结清全部工资。绝不拖欠工资；
五、福利待遇：
1、福利保险：
1、入职即买五险一金，公司为每个员工购买养老、婚育、工伤、失业、医疗等保险，还有住房公积金。。。
2、饭堂提供自助餐模式，迎合南北饮食差异，工作餐有米饭套餐、面条、水饺馒头、面包牛奶、鸡腿、鸡蛋等等；
3、公寓式宿舍，4-6人／间，设备齐全，空调、衣柜、饮水机和热水器，独立阳台及卫生间，24小时WiFi覆盖；
4、员工享有节假15天，享有工伤假、婚假、丧假、产假、带薪年休假等假期；
5、每个季度免费组织员工旅游，逢节假日举办大型文艺活动，以及抽奖、抢红包等娱乐；
6、厂区内各种生活娱乐设施一应俱全，应有尽有，医院、邮局、球场；
7、统一发放员工生日福利，以及端午、中秋等节日礼金，春节也有开工红包，年末有年终奖2000-4000不等，视乎公司经营业绩而定。
【附：只要符合公司要求者全部会录用，直接录用",广州众成人力资源有限公司是由广州工商行政管理局批准，经工商部门验资，登记，注册的合法机构。继承“顾客至上，开拓创新，追求卓越”的经营理念，“以诚信汇汇英才，以专业达科迅”的公司宗旨，通过持续创新，专业运作和精细管理，为客户提供优质服务，持续追求客户，人才，合作伙伴和公司的共同发展。本公司以多年从事人力。,,,广州众成人力资源有限公司,人力资源服务,1-49人,45,382,24月
摄影师/摄像师,5000-6000元/月,求职保障;包住;五险一金;年底双薪;周末双休;饭补;职业培训,"招3人;中专;经验不限,可接收应届生",广州-天河-天河客运站 广州天河天河客运站,"职位要求：
1、年龄19-26岁，学历中专毕业或者高中毕业以上、基础不限，肯学有师傅带。
2、不会可以培养，要有上进心，勤奋看重长远发展的上进青年。
3、热爱淘宝工作，性格开朗，想要有一份稳定的工作，对电商网店设计这个行业感兴趣。
工作时间：朝9晚6不加班，大小周休息","广州冰度科技有限公司，简称冰度科技，英文名称BingDu。
冰度科技是由从事多年互联网运营及营销，开发团队人员于创办，拥有强大的运营团队和技术团队，专注于高端网站定制、企业网站建设、手机移动网站建设、微信公众号开发及微信小程序定制、手机APP定制开发、应用系统开发等，为企业提供全球化互联网解决方案。
公司自创立以来，已成功为多家企事业单位、政府机关提供过高端网站建设服务、公众号开发、小程序定制、营销推广策划、项目代运营等等，获得了行业的广泛好评。
对冰度科技来说，客户是具有排他性、唯一性的。我们强调个性定制化的方式与您沟通，通过创意、新技术新媒体的结合运用，为您提供整合的解决方案与全方位的视觉传播服务。
冰度科技洞悉中国互联网发展轨迹的同时，以最为专业的网络新思维去深入思考网络在中国企业、中国互联网运营商以及网民中的真正价值，坚定不移的扛起中国网络创新的大旗，致力于揭开网络应用的新篇章！",零基础速成;名企就业;免费试听;包就业;推荐就业;面对面;名师授课;高薪就业;线下授课;广州天河天河客运站,天象网络技术有限公司创办于2000年，专注于IT技术培训、项目承接与研发、信息智能、触控终端等领域。依托多年的技术积累，打造产、学、研三位一体的IT技术及人才服务的综合平台，致力于从根本上解决学员就业不理想的问题，为IT行业输送一流的技术人才。2017年起天象网络技术陆续开设分公司，目前广州分公司于2017年成立。,广州冰度科技有限公司,计算机软件+教育/科研/培训+互联网/电子商务,1-49人,99,64,19月
多媒体/动画设计,4000-6000元/月,求职保障;饭补;加班补助;周末双休;年底双薪;包住,"招5人;学历不限;经验不限,可接收应届生",广州-天河-石牌 广州天河区石牌西路岗顶KB展望数码广场13A楼12室,"任职要求：
1、中专以上学历，但是要求必须对游戏感兴趣，并且认可这个行业！
2、18-30周岁，男女不限！
3、愿意从零开始，前期有人带，有无经验均可！
4、吃苦耐劳，有一定的自我约束和控制能力，意志力坚强。
5、表达能力好，听说读写能力强！
6、本岗位欢迎优秀应届毕业生前来应聘！
福利待遇：
1、富有竞争力的薪酬水平和其他福利津贴；年薪（8-15万）
2、健全的五险一金；
3、完善的绩效考核，年终奖金及定期调薪；
4、完善的培养体系和晋升机制；
5、带薪休假（年假，婚假，病假等）；
6、丰富的业余集体活动（拓展，旅游，聚餐，年会等）；
温馨提示：有意向者可以直接电话联系，优先获取面试机会！",广州迷吧科技有限公司主要是一间软件外包项目和游戏产品运营以及研发公司，技术团队开发人员20人左右,免费试听;名企就业;推荐就业;小班授课;名师授课;高薪就业;面对面;线下授课;广州天河区石牌西路岗顶KB展望数码广场13A楼12室,"北京汇众益智科技有限公司广州分公司汇众益智科技有限公司成立于2004年，下属全资子公司汇众传媒、汇众教育、汇众聚成。在北京、上海、广州、深圳、南京、武汉、杭州、西安、成都、合肥、大连等31座城市拥有近31家分公司.汇众传媒：主要业务为1.游戏角色场景制作；2二维、三维动画片制作,例：与上海嘉佳卡通合作《好奇探长》;3.虚拟仿真动画、企业广告片，例：《决战摩加迪沙》；4.游戏程序开发、手机游戏开发等。汇众教育：致力于动漫游戏人才的培养培训，12年来培养了多名专业技术人才，遍布全国90%的动漫游戏企业。以“高就业率、高薪资待遇”被誉为业内*HR。汇众聚成：专业的动漫游戏人才猎头服务商，旗下800多名月薪1万以上的专业技术人才库，资源遍布行业的高、中、低端，服务客户遍布全行业。公司服务理念专注于每一位员工的成功——以技术赢市场，以服务树口碑。专注恒久有价值的高品质成果；优质的产品及服务,不断创新技术，不断完善服务,迎接挑战,开拓进取。企业文化公平公正公开企业愿景中国数字娱乐行业领先品牌！企业定位资深的数字娱乐领域创业扶持平台----分公司专业的CG艺术行业内容提供商---汇众传媒专业的游戏动漫领域职业教育课程，十二年，36套版本专业课程---汇众教育致力于动漫游戏行业投资和猎头服务----汇众聚成诚聘英才，真诚期待您的加入...",广州迷吧科技有限公司,计算机软件+游戏,100-499人,100,187,23月
销售代表,8000-10000元/月,五险一金;话补;年底双薪,"招8人;中专;经验不限,可接收应届生",广州-天河-珠江新城中 广州天河黄埔大道西76号富力盈隆大厦4011单元,"岗位职责：
1、公司提供客户资源，负责通过微信或者电话了解客户的需求，邀约客户上门
2、给客户提供完善的融资方案，解决资金需求问题。（新人入职带薪培训）
3、定期与客户沟通，建立良好的合作关系挖掘新客户潜力。
工作时间：朝九晚六。周日固定单休
任职要求：
1、18-30岁，男女不限，有无经验均可。（面试优秀者可放款学历要求）
2、口齿清晰，普通话流利，语音富有感染力。
3、工作积极主动，有较高的责任心和良好的职业操守。
4、有相关销售工作经验者优先。
福利待遇：
1、薪酬结构：底薪4000+提成21-60%。员工月综合工资8000-2w
2、保障福利：入职签订劳动合同，转正为员工购买社保。
3、带薪培训：提供定期的新人培训和不定期的专业知识和专业技能培训。
4、假期安排：享受国家法定节假日、婚假、产假（陪）、病假、丧假、年假等带薪休假。
5、员工福利：提供节假日福利、下午茶、生日会，不定期员工聚餐和员工活动。
交通便利公司就在黄埔大道地铁站旁边。",广州南粤普惠信息咨询服务有限公司（简称“南粤普惠”）。秉承“信任就是力量”的品牌理念，以创新的科技和卓越客户体验为广大小微型企业和个人客户提供更加优质的贷款服务，打造*贷款客户信赖的消费金融品牌。,,,广州南粤普惠信息咨询服务有限公司,金融/银行,1-49人,54,29,16月
仓库管理员,5000-8000元/月,包住;五险一金;包吃;年底双薪;周末双休;交通补助;加班补助,"招5人;学历不限;经验不限,可接收应届生",广州-番禺-洛溪 广州番禺洛溪奥园大厦,"岗位内容：
1、负责仓库日常物资的验收、入库、码放、保管、盘点等工作；
2、负责仓库日常物资的拣选、复核工作；
3、负责保持仓内货品和环境的清洁、整齐和卫生工作；
4、部门主管交办的其它事宜。
任职资格：
1、20-50岁，学历不限，
2、积极耐劳、责任心强、具有合作和创新精神。
注：有兴趣或有经验者，主动投递简历，优先筛选联系！",老板使用58招人神器发布该职位，公司招人的诚意大到无需描述，赶紧来应聘吧。,,,深圳市捷易速货运代理有限公司,交通/运输/物流,1-49人,100,171,7天
销售代表,4500-6500元/月,年底双薪;包吃;包住;房补;五险一金,"招8人;高中;经验不限,可接收应届生",广州-番禺-市桥 广州番禺大道北691号万谷中心7楼整层,"工作内容：
1、主要负责线上邀约客户，为客户答疑解惑并邀约客户到公司考察项目
2、公司有优质的客户资源，你无需主动寻找客户资源，客户邀约过来会有经理去负责跟进谈单，开单率非常高。
3、有无经验均可，公司提供带薪培训，一经录用，公司将为员工进行分阶段的系统性培训。
职位要求：基本要求：18---28岁，普通话流利，专业不限，男女不限。
素养要求：责任心强，工作勤奋，具有团队合作精神和奉献精神。
不要求你有多优秀，但必须有追求，有目标，做事认真有责任心。
不会可以教，只要你肯学，敢于挑战！
哪怕你是小白，我们也会为你添上七彩。
薪酬福利：
1.高额的薪资福利：
无责任底薪+高额提成+业绩奖金+月度奖金+团队奖金+中晚餐+住宿/房补+年终奖+节日福利+生日福利+拓展旅游聚餐等福利
正常干4000---6000元月
努力干6000---8000元月
使劲干8000---10000元月
拼命干15000元月以上（上不封顶）
上班时间：朝九晚六
2.巨大的职业发展空间：
销售专员-组长-主管-经理-总监
公司有好的晋升空间，我们欣赏有事业梦想的人，更加欣赏梦想不断的积累和实践的勇敢家！","妙膳餐饮简介：
道家哲学，指造膳精深微妙，也指膳食精微致简之妙处！妙膳餐饮集团一家拥有众多品牌的知名企业。自2010年创办*个品牌以来，公司现已发展成为集餐饮一体性的连锁性综合机构。妙膳餐饮公司设有品牌部，研发部，培训部，售后部，招商部，运营部，设计部和配送部等众多专业化部门，汇集成一支特色餐饮品牌运作，营销策划，出品研发，市场运营，连锁管理的优秀队伍。一直以来，妙膳餐饮对美食的执着与创新，精彩的演绎着美食的至高境界。
妙膳餐饮企业实力：
公司倾心打造至高品味的美食品牌。创立了茶一巷；茶百乐；畅点烧仙草；蜜雪琪冰淇淋；唔哩先生炸鸡等一系列创意品牌，将传统餐饮与特色餐饮相结合，形成独特的美食经营模式，满足不同消费群体的不同需求。以独特食品风化资料为依托，融合*各地特色精美膳食，采其精华，创意研发，造膳食精妙致简，创立别具一格的创意美食系统。
发展前景：
今日的妙膳，积蓄着更大的能量，向更广阔的空间、更广泛的领域拓展。公司
结合多年餐饮管理的行业优势，打造精膳食，并形成致简的加盟复制管理运营模式，以广州为中心辐射全国，从美食研发，加盟培训到后期的配送，公司本着。“妙致简，精膳食！！”的理念，尽力扶持全国合作商快速赢利。",,,广州妙膳餐饮管理服务有限公司,娱乐休闲/餐饮/服务,100-499人,63,15,13月
普工,6500-8000元/月,包住;包吃;年底双薪;交通补助;加班补助;饭补;房补;五险一金,"招100人;学历不限;经验不限,可接收应届生",深圳-龙华-油松 深圳龙华油松文创园,"电子厂，25元小时，300元/天，包吃包住，住公寓有空调有热水器，可安排长白班
【工作地址】深圳龙华
【工作要求】：男女无限，18岁到45岁，工作认真。至少做15天
【工作内容】产品组装，分类贴标签包*装盒扫码，简单易懂。
【工作时间】08.00到20.00，
【工作待遇】22元小时，包吃住，第二个月25元小时，入职签合同，工作坐班，有部门长白班，三天可以预支500生活费，至少做15天，离职结清工资，不脱欠。
【报名方式】短信发送姓名+电话+年龄发短信或微信报名（确定能做，100%安排）",我司主要生产高科技企业电子产品。部门有生产部，组装部，包装部，分拣部，仓库部，质检部等。员工月平均工资5000---6500以上，环境好，福利优，公司始终以“全面创新、不断超越客户期望”为服务宗旨，以高可靠、高品质、高效率和极具竞争力的价格及完善的售后服务，赢得了广大顾客的信任和赞誉。郑重申明：本信息属本厂直招，工资统一由我厂统一打卡发放，招聘信息绝对真实！全程不收取任何费用！凡符合招聘条件者可直接来本厂区参加面试！,,,广州优索人力资源服务有限公司,人力资源服务+电子技术/半导体/集成电路+通信/电信,50-99人,60,66,4月
影视/后期制作,8000-16000元/月,五险一金;包住;包吃;年底双薪;周末双休;加班补助;话补,"招10人;学历不限;经验不限,可接收应届生",广州-天河-珠江新城东 广州天河珠江新城东广州富力盈信大厦,"热爱直播、短视频的您在哪里？！
我们不需要您有多强的技术，
甚至您可以是零基础没接触过，
我们愿意培养您，给您提供平台,
不安于平庸，改变自己命运！
———我们需要您—————
高中或以上学历，18-35周岁。
1.对直播、短视频感兴趣的人士
2.想挑战高薪的人士
3.想改变现状的人士
4.欢迎应届毕业生无工作经验人士
-----------------------------
公司培养孵化：
1.形象照片拍摄；
2.结合单曲，短视频、音乐翻拍制作
3.才艺培训：专业声乐、舞蹈、乐器等；
4.个人单曲制作、录制、发布，热门推广；
------------------------------------------------------
职位要求：
1.热情开朗乐观自信，有上进心；
2.语言沟通能力强，乐于与人互动交流、唠嗑；
3.唱歌水平高、舞蹈或者会乐器更佳，公司有资源深度打造
4.对自己才艺、口才、颜值，其中任一项有自信即可，（会化妆也可，有强大的美颜功能）；","八爪文化传媒是一家专注于短视频和电商直播，培养孵化红人的企业。淘宝官方合作MCN,UGC机构！目前公司旗下有著名直播红人、签约主播85人，合作主播300余人，总粉丝量900万，总观看量2000万，月销量达800万。旗下红人覆盖多个品类，擅长推广服装、美妆、食品、电器、母婴等类目产品。具备丰富的短视频拍摄经验，专业拍摄制作团队二十余人，短视频存余2000条。",,,广州市八爪文化传媒有限公司,媒体传播+广告/创意+文体/影视/艺术,50-99人,0,31,17天
销售代表,4000-6000元/月,求职保障;五险一金;包住;包吃;职业培训,"招3人;学历不限;经验不限,可接收应届生",广州-番禺-大石 广州市番禺区大石街植村一路48号悦凯中心,"习一技之长，稳步前行
这几年国家大力扶持电商行业，电商的兴起和崛起都是看得见的，公司目前也在大力储备和
培养电商人才，解决行业人才稀缺的问题。
公司属于电商美工代运营，学好后可平台做单。
一、岗位职责：
1、产品美化图片，精修图片，抠图，优化产品描述
2、PSDWPR运营摄影等软件的熟练运用，淘宝后台的熟练操作，店铺视觉创意，色
彩管理，店招到海报，直通车，钻展图片、聚划算图片等设计打造，手机端电脑端的一条龙
装修。
3、淘宝，天猫，阿里巴巴，唯品会等等，网店店铺装修设计
二、资深美工和想学美工设计的公司都有在招
资深美工，职位要求：
1、公司对美工技能要求比较严格。要有工作经验，ps，能熟练操作
2、提前预约面试时间，带上作品来公司面试
3、通过面试的，可直接上班工作（薪资待遇优越）
三、想学美工设计，无美工经验的：
首先，不会美工要把美工技能掌握好才能更好的工作
一对几带手把手教，学好后前3个月工资4000元-5000元左右，（广州美工薪资在4000—15000左右）工作时间越长，经验越丰富，作品越好，薪资越高。设计类主要看实际能
力
有意向可直接投递简历，电话或微信咨询更方便。
工作时间：早上9:00到下午5:00双休",目前企业拥有大批优秀人才，全力打造服务平台，为员工提供舒适的工作环境，和可观的薪资待遇，工作环境好，薪资待遇高，注重人才培养。工作时间：早9晚5月休6天不加班,零基础速成;高薪就业;线下授课;广州市番禺区大石街植村一路48号悦凯中心,广州新希望网络科技有限公司是做电商美工网店设计公司，有自己的天猫、淘宝服装网店、京东电器网店、家具网店，并致力于电商设计企业，专注于电商网站的视觉风格设计，目前企业拥有大批优秀人才，全力打造电子商务服务平台，为员工提供舒适的工作环境，和可观的薪资待遇，时间：早9晚5，法定全休；没基础、经验有人带可培养；我们是伯乐，一直在寻找千里马，期待您的加入。,广州新希望网络科技有限公司,广告/创意+互联网/电子商务,100-499人,-1,94,3月
普工,5000-6000元/月,求职保障;五险一金;包住;话补;年底双薪;加班补助;饭补;房补;包吃,"招100人;学历不限;经验不限,可接收应届生",广州-天河 广州市天河区神舟路地铁B出口,"(广州)电子科技有限公司是企业类型属外商独资经营，总部设在台北
一、岗位要求
1，男女不限，年龄18--40岁，
没有学历要求。
2，带身份证复印件3张，一寸照片3张，厂里也可准备
3，身体健康、无犯罪记录
4，请直接带上行李，当天安排宿舍
二、薪资待遇
小时工:
1、16-19元／小时，月保底260-300小时；
2、月综合工资5500元以上；
正式工:
1、一个月基本底薪：2100元/月；转正2350元/月，
2、加班统一按按劳动法，周一至周五（1.5倍工资），周六至周日（2倍工资），法定节假日（3倍工资）；综合工资5000元/月以上
工资发放：
1、工资统一以打卡方式发放，每月12号结清上月全部工资；
2、如遇到周六日，会提前发，绝不拖欠工资；
3、员工到期离职之后，及时结清全部工资。
三、福利待遇：
1、饭堂提供自助餐模式，迎合南北饮食差异，工作餐有米饭套餐、面条、水饺馒头、面包牛奶、鸡腿、鸡蛋等等；
2、公寓式宿舍，4-6人／间，设备齐全，空调、衣柜、饮水机和热水器，独立阳台及卫生间，24小时WiFi覆盖；
3、员工享有国家法定假11天，享有工伤假、婚假、丧假、产假、带薪年休假等假期；
4、每个季度免费组织员工旅游，逢节假日举办大型文艺活动，以及抽奖、抢红包等娱乐；
5、厂区内各种生活娱乐设施一应俱全，应有尽有，医院、邮局、球场、网吧；
6、统一发放员工生日福利，以及端午、中秋等节日礼金，春节也有开工红包，年末有年终奖1000不等，视乎公司经营业绩而定。
四、报名方式
1、拨打电话：点击查看联系电话，电话咨询招聘人事
2、短信报名：姓名+年龄+发给招聘人事
3、投递简历：收到简历后我们会*时间联系你
4、点击沟通：点击沟通微聊联系招聘人事",广州众成人力资源有限公司是由广州工商行政管理局批准，经工商部门验资，登记，注册的合法机构。继承“顾客至上，开拓创新，追求卓越”的经营理念，“以诚信汇汇英才，以专业达科迅”的公司宗旨，通过持续创新，专业运作和精细管理，为客户提供优质服务，持续追求客户，人才，合作伙伴和公司的共同发展。本公司以多年从事人力。,,,广州众成人力资源有限公司,人力资源服务,1-49人,24,98,24月
